t: 0.00000e+00   Fx1: 0.00000e+00   Fy1: 0.00000e+00   Fz1: 0.00000e+00  Fx2: 0.00000e+00   Fy2: 0.00000e+00   Fz2: 0.00000e+00  Fx3: 0.00000e+00   Fy3: 0.00000e+00   Fz3: 0.00000e+00 
t: 3.80001e-07   Fx1: -1.51450e-06   Fy1: -2.87270e-07   Fz1: 1.09413e-04  Fx2: 1.37015e-08   Fy2: 2.21097e-08   Fz2: -3.65271e-07  Fx3: -3.62121e-08   Fy3: -8.72360e-08   Fz3: 2.04827e-05 
t: 3.90002e-07   Fx1: 1.48996e-06   Fy1: 9.51575e-07   Fz1: 1.14283e-05  Fx2: -7.24736e-08   Fy2: -2.79503e-08   Fz2: -2.99793e-07  Fx3: 1.91444e-08   Fy3: -9.81991e-08   Fz3: 1.98862e-05 
t: 4.00003e-07   Fx1: 4.32148e-07   Fy1: 1.10725e-06   Fz1: 8.46736e-05  Fx2: -6.52664e-09   Fy2: -4.34375e-08   Fz2: -1.34286e-07  Fx3: 3.93011e-08   Fy3: -1.43413e-07   Fz3: 1.97547e-05 
t: 4.10003e-07   Fx1: 9.98312e-08   Fy1: 1.31864e-06   Fz1: 6.64042e-05  Fx2: -3.71363e-08   Fy2: 9.07565e-09   Fz2: -2.93874e-07  Fx3: -2.22268e-08   Fy3: -2.01260e-07   Fz3: 1.91390e-05 
t: 4.20004e-07   Fx1: -4.32732e-09   Fy1: 1.20257e-06   Fz1: 9.29877e-06  Fx2: 1.33197e-08   Fy2: 2.31527e-08   Fz2: -5.15270e-07  Fx3: -8.98773e-08   Fy3: -2.34203e-07   Fz3: 1.91304e-05 
t: 4.30004e-07   Fx1: 5.23821e-07   Fy1: -8.77738e-07   Fz1: 2.28687e-05  Fx2: 5.14905e-08   Fy2: 6.60439e-08   Fz2: 1.99672e-08  Fx3: -1.00296e-07   Fy3: -1.82444e-07   Fz3: 1.83529e-05 
t: 4.40005e-07   Fx1: 7.50520e-07   Fy1: -2.16682e-07   Fz1: -5.59733e-05  Fx2: -2.57995e-08   Fy2: -5.93693e-09   Fz2: -2.04683e-06  Fx3: -1.81318e-07   Fy3: -8.09096e-08   Fz3: 1.92930e-05 
t: 4.50000e-07   Fx1: 4.13027e-07   Fy1: 1.15382e-06   Fz1: 6.20789e-05  Fx2: -5.67977e-08   Fy2: 3.66718e-08   Fz2: -1.11152e-06  Fx3: -3.06708e-07   Fy3: -3.65463e-08   Fz3: 1.92952e-05 
t: 4.60001e-07   Fx1: -2.00478e-07   Fy1: -3.30405e-07   Fz1: -6.36875e-06  Fx2: -4.00754e-08   Fy2: 2.34209e-08   Fz2: 1.73032e-07  Fx3: -2.02959e-07   Fy3: 3.45744e-08   Fz3: 1.98473e-05 
t: 4.70001e-07   Fx1: -2.99596e-07   Fy1: 6.59652e-07   Fz1: 5.09363e-05  Fx2: 1.48611e-08   Fy2: -7.08954e-08   Fz2: -2.20243e-08  Fx3: -1.56261e-07   Fy3: 4.54873e-08   Fz3: 2.04472e-05 
t: 4.80005e-07   Fx1: -5.72897e-07   Fy1: 7.62541e-07   Fz1: -2.29414e-05  Fx2: 1.47702e-08   Fy2: -4.08675e-08   Fz2: 1.28976e-06  Fx3: -1.31281e-07   Fy3: 5.83911e-08   Fz3: 1.99099e-05 
